Type,Value,Organization,Rating,Confidence,DateAdded,LastModified,Description,Source,DNS,Whois,Active,Observations,Date Last Observed,False Positives,Date FP Last Reported,Tags
Address,218.155.72.174,TAE_RG,0,0,04-21-2021,06-11-2022,,,,,1,0,,0,,"Server: Linux, WEBACCESS/1.0, DIR-850L Ver 1.03"
Address,211.49.155.151,TAE_RG,0,0,04-21-2021,04-21-2022,,,,,1,0,,0,,"Server: Linux, WEBACCESS/1.0, DIR-850L Ver 1.03"
Address,121.54.193.109,TAE_RG,0,0,01-21-2021,04-21-2022,,,,,1,0,,0,,"Server: Linux, WEBACCESS/1.0, DIR-850L Ver 1.03;waynelikesthisIP"
Address,2.190.41.202,TAE_RG,0,0,04-21-2021,02-28-2022,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""DSL-N10"";ap-1"
Address,84.241.5.253,TAE_RG,0,0,04-21-2021,01-11-2022,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""DSL-N10"""
Address,2.177.225.202,TAE_RG,0,0,04-21-2021,01-11-2022,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""DSL-N10"""
Address,112.187.131.190,TAE_RG,0,0,01-21-2021,11-01-2021,,,,,1,0,,0,,"Server: Linux, WEBACCESS/1.0, DIR-850L Ver 1.03"
Address,121.171.156.129,TAE_RG,0,0,01-21-2021,11-01-2021,,,,,1,0,,0,,"Server: Linux, WEBACCESS/1.0, DIR-850L Ver 1.03"
Address,187.84.58.123,TAE_RG,0,0,01-22-2021,11-01-2021,,,,,1,0,,0,,"Basic realm=""TP-LINK Wireless Lite N Router WR740N/WR741ND"""
Address,125.129.126.169,TAE_RG,0,0,01-21-2021,11-01-2021,,,,,1,0,,0,,"Server: Linux, WEBACCESS/1.0, DIR-850L Ver 1.03"
Address,185.46.127.143,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,186.69.56.234,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,186.71.31.203,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,186.66.155.69,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,181.175.17.186,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,186.42.102.66,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,186.66.234.206,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,186.71.49.82,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,186.71.49.210,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
Address,181.211.114.98,TAE_RG,0,0,02-03-2021,10-07-2021,,,,,1,0,,0,,"WWW-Authenticate: Basic realm=""TP-LINK Wireless N Router WR841N"""
